fila,empresa,estado,error,fuente
2,X (formerly Twitter),not_found,,
3,LinkedIn,not_found,,
5,Federación de Agrupaciones de Empresarios de la Construcción de Cádiz (FAEC),not_found,,
7,Linkedin,not_found,,
8,Antes de ir a YouTube,not_found,,
9,"Inicio de sesiÃ³n en LinkedIn, Iniciar sesiÃ³n",not_found,,
12,ANLLAR MANTENIMIENTO Y CONSTRUCCIONES,not_found,,
15,ariasinfraestructuras.com,not_found,,
17,BAUMA Arquitectura y Construcción,not_found,,
19,Infoconstruccion - DPArquitectura | LinkedIn,not_found,,
27,Infoedita,not_found,,
28,Política de Privacidad,not_found,,
31,Entramos.com Guía de Profesionales,not_found,,
33,ConWize,not_found,,
34,ConWize | LinkedIn,not_found,,
35,Antes de ir a YouTube,not_found,,
40,Centro de ayuda para compradores,not_found,,
42,Help Center for Suppliers,not_found,,
48,Linkedin,not_found,,
49,Antes de ir a YouTube,not_found,,
50,X (formerly Twitter),not_found,,
53,Inicio,not_found,,
54,LinkedIn,not_found,,
